Name,ID,Ort,Bundesstaat,Region,Land,Jahr,Kilometerstand,Kraftstoff,Schaltung,Besitzer,KilometerPerLiter,Hubraum ,PS,Sitze,PreisEuro,Daten für Jason 
Mercedes-Benz New C-Class C 200 CGI Avantgarde,128647,Mumbai,Maharashtra,Westindien,Indien,2011,40000,Benzin,Automatic,Second,16436,1796,186,5,1689425,"{""data"": { ""id"":""128647,Mercedes-Benz New C-Class C 200 CGI Avantgarde"" }},"
Maruti Baleno Alpha 1.3,128648,Hyderabad,Telangana,Südindien,Indien,2016,30112,Diesel,Manual,First,38346,1248,74,5,907629,"{""data"": { ""id"":""128648,Maruti Baleno Alpha 1.3"" }},"
Maruti Ertiga VDI,128649,Kochi,Kerala,Südindien,Indien,2017,43775,Diesel,Manual,First,29078,1248,8876,7,963555,"{""data"": { ""id"":""128649,Maruti Ertiga VDI"" }},"
Land Rover Range Rover Sport SE,128650,Kochi,Kerala,Südindien,Indien,2019,26013,Diesel,Automatic,First,1771,2993,255,5,11309829,"{""data"": { ""id"":""128650,Land Rover Range Rover Sport SE"" }},"
Chevrolet Optra Magnum 1.6 LT ABS BS3,128651,Mumbai,Maharashtra,Westindien,Indien,2012,56000,Benzin,Manual,First,1806,1598,1025,5,250501,"{""data"": { ""id"":""128651,Chevrolet Optra Magnum 1.6 LT ABS BS3"" }},"
Honda Civic 2006-2010 1.8 V AT,128652,Hyderabad,Telangana,Südindien,Indien,2008,95000,Benzin,Automatic,Second,1806,1799,130,5,349536,"{""data"": { ""id"":""128652,Honda Civic 2006-2010 1.8 V AT"" }},"
BMW X3 xDrive20d,128653,Coimbatore,Tamil Nadu,Ostindien,Indien,2014,41089,Diesel,Automatic,First,22526,1995,184,5,3354383,"{""data"": { ""id"":""128653,BMW X3 xDrive20d"" }},"
Skoda Laura Ambition 2.0 TDI CR AT,128654,Mumbai,Maharashtra,Westindien,Indien,2011,41988,Diesel,Automatic,First,28,1968,1381,5,634991,"{""data"": { ""id"":""128654,Skoda Laura Ambition 2.0 TDI CR AT"" }},"
Maruti Swift Dzire VDI,128655,Delhi,DelhiStaat,Nordindien,Indien,2013,72486,Diesel,Manual,First,3276,1248,74,5,460223,"{""data"": { ""id"":""128655,Maruti Swift Dzire VDI"" }},"
Volvo V40 Cross Country D3,128656,Pune,Maharashtra,Westindien,Indien,2013,92000,Diesel,Automatic,First,3262,1984,150,5,1864194,"{""data"": { ""id"":""128656,Volvo V40 Cross Country D3"" }},"
Maruti Swift Dzire ZXi,128657,Delhi,DelhiStaat,Nordindien,Indien,2013,40000,Benzin,Manual,First,245,1298,858,5,495176,"{""data"": { ""id"":""128657,Maruti Swift Dzire ZXi"" }},"
Land Rover Range Rover 2.2L Pure,128658,Bangalore,Karnataka,Südindien,Indien,2014,56000,Diesel,Automatic,First,1778,2179,1877,5,4019667,"{""data"": { ""id"":""128658,Land Rover Range Rover 2.2L Pure"" }},"
Honda Accord 2.4 AT,128659,Mumbai,Maharashtra,Westindien,Indien,2008,125000,Benzin,Automatic,Third,1638,2354,1776,5,302931,"{""data"": { ""id"":""128659,Honda Accord 2.4 AT"" }},"
Toyota Innova 2.5 G (Diesel) 8 Seater,128660,Kochi,Kerala,Südindien,Indien,2017,29219,Diesel,Manual,First,18186,2494,1006,8,1570583,"{""data"": { ""id"":""128660,Toyota Innova 2.5 G (Diesel) 8 Seater"" }},"
Toyota Fortuner 4x4 MT,128661,Hyderabad,Telangana,Südindien,Indien,2018,39927,Diesel,Manual,First,1757,2982,1685,7,3740038,"{""data"": { ""id"":""128661,Toyota Fortuner 4x4 MT"" }},"
Honda Jazz 1.2 E i VTEC,128662,Kochi,Kerala,Südindien,Indien,2018,38593,Benzin,Manual,First,2618,1199,887,5,718880,"{""data"": { ""id"":""128662,Honda Jazz 1.2 E i VTEC"" }},"
Honda City 1.5 V MT,128663,Kolkata,Westbengalen,Ostindien,Indien,2015,32000,Benzin,Manual,First,238,1497,118,5,640817,"{""data"": { ""id"":""128663,Honda City 1.5 V MT"" }},"
Maruti Dzire AMT ZDI Plus,128664,Hyderabad,Telangana,Südindien,Indien,2017,28226,Diesel,Automatic,First,3976,1248,7375,5,1066086,"{""data"": { ""id"":""128664,Maruti Dzire AMT ZDI Plus"" }},"
Nissan Sunny 2011-2014 Diesel XL,128665,Pune,Maharashtra,Westindien,Indien,2014,95000,Diesel,Manual,First,30296,1461,848,5,524304,"{""data"": { ""id"":""128665,Nissan Sunny 2011-2014 Diesel XL"" }},"
Toyota Innova 2.5 G (Diesel) 8 Seater,128666,Chennai,Tamil Nadu,Ostindien,Indien,2014,194000,Diesel,Manual,First,18186,2494,1006,8,1223377,"{""data"": { ""id"":""128666,Toyota Innova 2.5 G (Diesel) 8 Seater"" }},"
Honda Brio S MT,128667,Coimbatore,Tamil Nadu,Ostindien,Indien,2016,14821,Benzin,Manual,First,2716,1198,868,5,625670,"{""data"": { ""id"":""128667,Honda Brio S MT"" }},"
Volkswagen Vento Benzin Trendline,128668,Bangalore,Karnataka,Südindien,Indien,2012,52000,Benzin,Manual,First,21056,1598,1036,5,634991,"{""data"": { ""id"":""128668,Volkswagen Vento Benzin Trendline"" }},"
Mahindra XUV500 W4,128669,Mumbai,Maharashtra,Westindien,Indien,2016,33000,Diesel,Manual,First,224,2179,140,7,1077737,"{""data"": { ""id"":""128669,Mahindra XUV500 W4"" }},"
Ford EcoSport 1.5 Diesel Titanium Plus,128670,Chennai,Tamil Nadu,Ostindien,Indien,2016,29200,Diesel,Manual,First,322,1498,9896,5,897143,"{""data"": { ""id"":""128670,Ford EcoSport 1.5 Diesel Titanium Plus"" }},"
Skoda Yeti Ambition 4X2,128671,Hyderabad,Telangana,Südindien,Indien,2012,99754,Diesel,Manual,First,24808,1968,10849,5,930932,"{""data"": { ""id"":""128671,Skoda Yeti Ambition 4X2"" }},"
Hyundai i10 Sportz,128672,Chennai,Tamil Nadu,Ostindien,Indien,2012,49000,Benzin,Manual,First,28504,1197,789,5,349536,"{""data"": { ""id"":""128672,Hyundai i10 Sportz"" }},"
Toyota Innova 2.5 G (Diesel) 8 Seater BS IV,128673,Hyderabad,Telangana,Südindien,Indien,2005,299322,Diesel,Manual,First,1792,2494,102,8,466048,"{""data"": { ""id"":""128673,Toyota Innova 2.5 G (Diesel) 8 Seater BS IV"" }},"
Tata Zest Quadrajet 1.3 XT,128674,Coimbatore,Tamil Nadu,Ostindien,Indien,2018,38310,Diesel,Manual,First,2891,1248,887,5,779466,"{""data"": { ""id"":""128674,Tata Zest Quadrajet 1.3 XT"" }},"
Maruti Swift VDI,128675,Delhi,DelhiStaat,Nordindien,Indien,2014,56000,Diesel,Manual,First,3206,1248,74,5,495176,"{""data"": { ""id"":""128675,Maruti Swift VDI"" }},"
Skoda Rapid 1.5 TDI AT Style,128676,Kolkata,Westbengalen,Ostindien,Indien,2017,31300,Diesel,Automatic,First,30408,1498,1084,5,1223377,"{""data"": { ""id"":""128676,Skoda Rapid 1.5 TDI AT Style"" }},"
Toyota Innova Crysta 2.4 VX MT 8S,128677,Coimbatore,Tamil Nadu,Ostindien,Indien,2019,11241,Diesel,Manual,First,19152,2393,1478,8,2627348,"{""data"": { ""id"":""128677,Toyota Innova Crysta 2.4 VX MT 8S"" }},"
Hyundai Verna 1.6 SX VTVT,128678,Pune,Maharashtra,Westindien,Indien,2014,48000,Benzin,Manual,Second,23814,1591,1213,5,605863,"{""data"": { ""id"":""128678,Hyundai Verna 1.6 SX VTVT"" }},"
Honda City i VTEC VX Option,128679,Coimbatore,Tamil Nadu,Ostindien,Indien,2019,23882,Benzin,Manual,First,2436,1497,1173,5,1382999,"{""data"": { ""id"":""128679,Honda City i VTEC VX Option"" }},"
Honda City i DTEC SV,128680,Hyderabad,Telangana,Südindien,Indien,2014,65000,Diesel,Manual,First,364,1498,986,5,814420,"{""data"": { ""id"":""128680,Honda City i DTEC SV"" }},"
Volkswagen Vento Diesel Highline,128681,Jaipur,Rajastahn,Nordindien,Indien,2011,50000,Diesel,Manual,First,28756,1598,1036,5,582560,"{""data"": { ""id"":""128681,Volkswagen Vento Diesel Highline"" }},"
Audi Q5 2008-2012 3.0 TDI,128682,Chennai,Tamil Nadu,Ostindien,Indien,2014,25000,Diesel,Automatic,First,17066,2967,236,5,5126532,"{""data"": { ""id"":""128682,Audi Q5 2008-2012 3.0 TDI"" }},"
Maruti Alto 800 LXI,128683,Chennai,Tamil Nadu,Ostindien,Indien,2015,21000,Benzin,Manual,First,31836,796,473,5,325069,"{""data"": { ""id"":""128683,Maruti Alto 800 LXI"" }},"
Tata Manza ELAN Quadrajet BS IV,128684,Pune,Maharashtra,Westindien,Indien,2012,148000,Diesel,Manual,Second,29568,1248,888,5,337885,"{""data"": { ""id"":""128684,Tata Manza ELAN Quadrajet BS IV"" }},"
Hyundai Creta 1.6 SX Plus Dual Tone Benzin,128685,Delhi,DelhiStaat,Nordindien,Indien,2016,68000,Benzin,Manual,First,21406,1591,1213,5,1147644,"{""data"": { ""id"":""128685,Hyundai Creta 1.6 SX Plus Dual Tone Benzin"" }},"
Mercedes-Benz GL-Class 2007 2012 350 CDI Luxury,128686,Bangalore,Karnataka,Südindien,Indien,2014,52000,Diesel,Automatic,First,168,2987,224,7,5709093,"{""data"": { ""id"":""128686,Mercedes-Benz GL-Class 2007 2012 350 CDI Luxury"" }},"
Mahindra Thar CRDe,128687,Jaipur,Rajastahn,Nordindien,Indien,2016,19000,Diesel,Manual,First,2317,2498,105,6,1077737,"{""data"": { ""id"":""128687,Mahindra Thar CRDe"" }},"
Hyundai Verna 1.6 CRDI,128688,Mumbai,Maharashtra,Westindien,Indien,2011,74000,Diesel,Manual,Second,31248,1582,1263,5,436920,"{""data"": { ""id"":""128688,Hyundai Verna 1.6 CRDI"" }},"
Ford Aspire Titanium Diesel,128689,Coimbatore,Tamil Nadu,Ostindien,Indien,2017,30279,Diesel,Manual,First,3654,1498,99,5,849373,"{""data"": { ""id"":""128689,Ford Aspire Titanium Diesel"" }},"
Mini Cooper 3 DOOR D,128690,Mumbai,Maharashtra,Westindien,Indien,2016,20000,Diesel,Automatic,First,2898,1496,11398,4,2738034,"{""data"": { ""id"":""128690,Mini Cooper 3 DOOR D"" }},"
Maruti Omni 8 Seater BSIV,128691,Hyderabad,Telangana,Südindien,Indien,2013,34834,Benzin,Manual,First,196,796,35,5,302931,"{""data"": { ""id"":""128691,Maruti Omni 8 Seater BSIV"" }},"
Mahindra Verito 1.5 D4 BSIV,128692,Pune,Maharashtra,Westindien,Indien,2015,90000,Diesel,Manual,Second,29442,1461,65,5,361187,"{""data"": { ""id"":""128692,Mahindra Verito 1.5 D4 BSIV"" }},"
Mercedes-Benz E-Class 2009-2013 E250 CDI Elegance,128693,Coimbatore,Tamil Nadu,Ostindien,Indien,2016,38730,Diesel,Automatic,First,19894,2143,203,5,3493033,"{""data"": { ""id"":""128693,Mercedes-Benz E-Class 2009-2013 E250 CDI Elegance"" }},"
Renault Duster 110PS Diesel RxZ,128694,Kochi,Kerala,Südindien,Indien,2016,57390,Diesel,Manual,First,26614,1461,10845,5,784126,"{""data"": { ""id"":""128694,Renault Duster 110PS Diesel RxZ"" }},"
Maruti Swift Dzire Tour LDI,128695,Kolkata,Westbengalen,Ostindien,Indien,2016,100000,Diesel,Manual,First,3276,1248,74,5,407792,"{""data"": { ""id"":""128695,Maruti Swift Dzire Tour LDI"" }},"
Volkswagen Polo Benzin Highline 1.2L,128696,Kolkata,Westbengalen,Ostindien,Indien,2011,50000,Benzin,Manual,First,23058,1198,739,5,273803,"{""data"": { ""id"":""128696,Volkswagen Polo Benzin Highline 1.2L"" }},"
Mahindra XUV500 W10 2WD,128697,Coimbatore,Tamil Nadu,Ostindien,Indien,2017,64961,Diesel,Manual,First,224,2179,140,7,1879340,"{""data"": { ""id"":""128697,Mahindra XUV500 W10 2WD"" }},"
Volkswagen Polo 1.2 MPI Highline,128698,Coimbatore,Tamil Nadu,Ostindien,Indien,2014,72465,Benzin,Manual,First,23058,1198,74,5,687421,"{""data"": { ""id"":""128698,Volkswagen Polo 1.2 MPI Highline"" }},"
Maruti Ritz VXI,128699,Hyderabad,Telangana,Südindien,Indien,2012,68776,Benzin,Manual,First,2954,1197,858,5,454397,"{""data"": { ""id"":""128699,Maruti Ritz VXI"" }},"
Toyota Innova 2.5 GX 7 STR BSIV,128700,Delhi,DelhiStaat,Nordindien,Indien,2012,68000,Diesel,Manual,First,1792,2494,102,7,809759,"{""data"": { ""id"":""128700,Toyota Innova 2.5 GX 7 STR BSIV"" }},"
Honda City i DTec SV,128701,Delhi,DelhiStaat,Nordindien,Indien,2015,33000,Diesel,Manual,First,364,1498,986,5,815585,"{""data"": { ""id"":""128701,Honda City i DTec SV"" }},"
Volkswagen Ameo 1.2 MPI Highline,128702,Coimbatore,Tamil Nadu,Ostindien,Indien,2017,22389,Benzin,Manual,First,238,1198,7375,5,842382,"{""data"": { ""id"":""128702,Volkswagen Ameo 1.2 MPI Highline"" }},"
Maruti SX4 ZDI Leather,128703,Mumbai,Maharashtra,Westindien,Indien,2012,90000,Diesel,Manual,First,301,1248,888,5,443911,"{""data"": { ""id"":""128703,Maruti SX4 ZDI Leather"" }},"
Maruti Swift ZXI,128704,Chennai,Tamil Nadu,Ostindien,Indien,2012,42000,Benzin,Manual,Third,2604,1197,858,5,524304,"{""data"": { ""id"":""128704,Maruti Swift ZXI"" }},"
Hyundai Creta 1.6 CRDi SX,128705,Pune,Maharashtra,Westindien,Indien,2017,38767,Diesel,Manual,First,27538,1582,1262,5,1468052,"{""data"": { ""id"":""128705,Hyundai Creta 1.6 CRDi SX"" }},"
Audi Q7 35 TDI Quattro Technology,128706,Bangalore,Karnataka,Südindien,Indien,2015,21000,Diesel,Automatic,First,16898,2967,2414,7,5592581,"{""data"": { ""id"":""128706,Audi Q7 35 TDI Quattro Technology"" }},"
Maruti Alto LXi BSIII,128707,Coimbatore,Tamil Nadu,Ostindien,Indien,2010,59136,Benzin,Manual,First,2758,796,463,5,344876,"{""data"": { ""id"":""128707,Maruti Alto LXi BSIII"" }},"
Honda Amaze SX i-DTEC,128708,Kolkata,Westbengalen,Ostindien,Indien,2014,36000,Diesel,Manual,First,3612,1498,986,5,378664,"{""data"": { ""id"":""128708,Honda Amaze SX i-DTEC"" }},"
Volkswagen Passat Diesel Highline 2.0 TDI,128709,Chennai,Tamil Nadu,Ostindien,Indien,2011,95000,Diesel,Automatic,Second,25662,1968,1677,5,990353,"{""data"": { ""id"":""128709,Volkswagen Passat Diesel Highline 2.0 TDI"" }},"
Hyundai Elantra CRDi SX AT,128710,Mumbai,Maharashtra,Westindien,Indien,2013,51000,Diesel,Automatic,First,273,1582,12624,5,1019481,"{""data"": { ""id"":""128710,Hyundai Elantra CRDi SX AT"" }},"
Maruti Wagon R VXI BS IV,128711,Kochi,Kerala,Südindien,Indien,2011,36411,Benzin,Manual,First,2646,998,671,5,358857,"{""data"": { ""id"":""128711,Maruti Wagon R VXI BS IV"" }},"
Land Rover Discovery Sport TD4 HSE 7S,128712,Mumbai,Maharashtra,Westindien,Indien,2017,40000,Diesel,Automatic,First,17934,1999,14831,7,4835252,"{""data"": { ""id"":""128712,Land Rover Discovery Sport TD4 HSE 7S"" }},"
Honda City i VTEC SV,128713,Pune,Maharashtra,Westindien,Indien,2016,27300,Benzin,Manual,First,2492,1497,1173,5,815585,"{""data"": { ""id"":""128713,Honda City i VTEC SV"" }},"
Mercedes-Benz New C-Class C 200 Avantgarde Edition C,128714,Kochi,Kerala,Südindien,Indien,2011,29813,Benzin,Automatic,Second,20636,1991,18103,5,1339889,"{""data"": { ""id"":""128714,Mercedes-Benz New C-Class C 200 Avantgarde Edition C"" }},"
Maruti Wagon R LX BS IV,128715,Pune,Maharashtra,Westindien,Indien,2011,71000,Benzin,Manual,First,28714,998,6704,5,302931,"{""data"": { ""id"":""128715,Maruti Wagon R LX BS IV"" }},"
Hyundai Verna 1.6 CRDI,128716,Kolkata,Westbengalen,Ostindien,Indien,2014,32000,Diesel,Manual,First,31248,1582,1263,5,501002,"{""data"": { ""id"":""128716,Hyundai Verna 1.6 CRDI"" }},"
Maruti Ertiga VXI CNG,128717,Mumbai,Maharashtra,Westindien,Indien,2017,19234,CNG,Manual,First,245,1373,8046,7,972876,"{""data"": { ""id"":""128717,Maruti Ertiga VXI CNG"" }},"
Volkswagen Tiguan 2.0 TDI Highline,128718,Jaipur,Rajastahn,Nordindien,Indien,2017,50510,Diesel,Automatic,First,23884,1968,141,5,2901151,"{""data"": { ""id"":""128718,Volkswagen Tiguan 2.0 TDI Highline"" }},"
BMW X1 sDrive 20d Exclusive,128719,Pune,Maharashtra,Westindien,Indien,2011,102000,Diesel,Automatic,First,21084,1995,177,5,1602041,"{""data"": { ""id"":""128719,BMW X1 sDrive 20d Exclusive"" }},"
Hyundai Grand i10 1.2 CRDi Sportz Option,128720,Kolkata,Westbengalen,Ostindien,Indien,2014,42277,Diesel,Manual,First,336,1186,7397,5,448572,"{""data"": { ""id"":""128720,Hyundai Grand i10 1.2 CRDi Sportz Option"" }},"
Mercedes-Benz E-Class E250 CDI Avantgrade,128721,Mumbai,Maharashtra,Westindien,Indien,2014,46000,Diesel,Automatic,First,182,2143,2011,5,2708906,"{""data"": { ""id"":""128721,Mercedes-Benz E-Class E250 CDI Avantgrade"" }},"
Hyundai Grand i10 Asta Option,128722,Bangalore,Karnataka,Südindien,Indien,2015,50000,Benzin,Manual,First,2646,1197,82,5,669945,"{""data"": { ""id"":""128722,Hyundai Grand i10 Asta Option"" }},"
Hyundai i10 Magna 1.2,128723,Mumbai,Maharashtra,Westindien,Indien,2008,62000,Benzin,Manual,Second,28504,1197,789,5,192245,"{""data"": { ""id"":""128723,Hyundai i10 Magna 1.2"" }},"
Volkswagen Jetta 2012-2014 2.0L TDI Comfortline,128724,Mumbai,Maharashtra,Westindien,Indien,2012,78000,Diesel,Manual,First,27062,1968,1381,5,757329,"{""data"": { ""id"":""128724,Volkswagen Jetta 2012-2014 2.0L TDI Comfortline"" }},"
Skoda Yeti Elegance,128725,Chennai,Tamil Nadu,Ostindien,Indien,2011,79000,Diesel,Manual,First,24738,1968,13808,5,873841,"{""data"": { ""id"":""128725,Skoda Yeti Elegance"" }},"
Audi Q7 45 TDI Quattro Premium Plus,128726,Kochi,Kerala,Südindien,Indien,2019,6773,Diesel,Automatic,First,2065,2967,245,7,8498392,"{""data"": { ""id"":""128726,Audi Q7 45 TDI Quattro Premium Plus"" }},"
Toyota Fortuner 3.0 Diesel,128727,Chennai,Tamil Nadu,Ostindien,Indien,2010,135000,Diesel,Manual,Second,161,2982,171,7,1281633,"{""data"": { ""id"":""128727,Toyota Fortuner 3.0 Diesel"" }},"
Maruti Wagon R VXI Minor ABS,128728,Kochi,Kerala,Südindien,Indien,2013,36716,Benzin,Manual,First,2646,1061,67,5,351867,"{""data"": { ""id"":""128728,Maruti Wagon R VXI Minor ABS"" }},"
Hyundai EON Era,128729,Coimbatore,Tamil Nadu,Ostindien,Indien,2013,65060,Benzin,Manual,First,2954,814,552,5,386820,"{""data"": { ""id"":""128729,Hyundai EON Era"" }},"
Honda Brio S MT,128730,Delhi,DelhiStaat,Nordindien,Indien,2013,33000,Benzin,Manual,First,2716,1198,868,5,377499,"{""data"": { ""id"":""128730,Honda Brio S MT"" }},"
Maruti Alto 800 VXI,128731,Kolkata,Westbengalen,Ostindien,Indien,2015,11110,Benzin,Manual,First,31836,796,473,5,273803,"{""data"": { ""id"":""128731,Maruti Alto 800 VXI"" }},"
Mahindra Bolero ZLX,128732,Jaipur,Rajastahn,Nordindien,Indien,2013,63000,Diesel,Manual,First,22344,2523,621,7,640817,"{""data"": { ""id"":""128732,Mahindra Bolero ZLX"" }},"
Honda City i VTEC SV,128733,Mumbai,Maharashtra,Westindien,Indien,2015,27030,Benzin,Manual,First,2492,1497,1173,5,786457,"{""data"": { ""id"":""128733,Honda City i VTEC SV"" }},"
Skoda Rapid 1.6 MPI Elegance Black Package,128734,Mumbai,Maharashtra,Westindien,Indien,2015,19600,Benzin,Manual,First,21,1598,10352,5,716549,"{""data"": { ""id"":""128734,Skoda Rapid 1.6 MPI Elegance Black Package"" }},"
Maruti Swift VVT VXI,128735,Pune,Maharashtra,Westindien,Indien,2016,27755,Benzin,Manual,First,308,1197,818,5,634991,"{""data"": { ""id"":""128735,Maruti Swift VVT VXI"" }},"
Hyundai EON Magna Plus,128736,Hyderabad,Telangana,Südindien,Indien,2013,20000,Benzin,Manual,Second,2954,814,552,5,267978,"{""data"": { ""id"":""128736,Hyundai EON Magna Plus"" }},"
Maruti Swift Dzire ZXI,128737,Kochi,Kerala,Südindien,Indien,2015,24782,Benzin,Manual,First,2919,1197,8314,5,723540,"{""data"": { ""id"":""128737,Maruti Swift Dzire ZXI"" }},"
Nissan Micra XV CVT,128738,Coimbatore,Tamil Nadu,Ostindien,Indien,2014,47303,Benzin,Automatic,First,27076,1198,76,5,607028,"{""data"": { ""id"":""128738,Nissan Micra XV CVT"" }},"
Audi Q7 4.2 FSI quattro,128739,Delhi,DelhiStaat,Nordindien,Indien,2008,71000,Benzin,Automatic,First,1162,4134,250,7,1396980,"{""data"": { ""id"":""128739,Audi Q7 4.2 FSI quattro"" }},"
Maruti Swift Vdi BSIII,128740,Pune,Maharashtra,Westindien,Indien,2010,135000,Diesel,Manual,First,2492,1248,75,5,361187,"{""data"": { ""id"":""128740,Maruti Swift Vdi BSIII"" }},"
Tata Xenon XT EX 4X2,128741,Jaipur,Rajastahn,Nordindien,Indien,2017,1000,Diesel,Manual,First,18886,2179,13803,5,873841,"{""data"": { ""id"":""128741,Tata Xenon XT EX 4X2"" }},"
Volkswagen Polo 1.5 TDI Comfortline,128742,Kolkata,Westbengalen,Ostindien,Indien,2016,29000,Diesel,Manual,First,28196,1498,888,5,466048,"{""data"": { ""id"":""128742,Volkswagen Polo 1.5 TDI Comfortline"" }},"
Honda City i VTEC SV,128743,Kochi,Kerala,Südindien,Indien,2016,36367,Benzin,Manual,First,2492,1497,1173,5,900638,"{""data"": { ""id"":""128743,Honda City i VTEC SV"" }},"
Honda City i VTEC V,128744,Bangalore,Karnataka,Südindien,Indien,2015,38000,Benzin,Manual,First,2436,1497,1173,5,908794,"{""data"": { ""id"":""128744,Honda City i VTEC V"" }},"
Maruti 800 AC BSIII,128745,Hyderabad,Telangana,Südindien,Indien,2011,83969,Benzin,Manual,First,2254,796,37,4,151466,"{""data"": { ""id"":""128745,Maruti 800 AC BSIII"" }},"
Volkswagen Polo 1.5 TDI Trendline,128746,Jaipur,Rajastahn,Nordindien,Indien,2014,82621,Diesel,Manual,First,28196,1498,888,5,514983,"{""data"": { ""id"":""128746,Volkswagen Polo 1.5 TDI Trendline"" }},"
Chevrolet Captiva LTZ VCDi,128747,Pune,Maharashtra,Westindien,Indien,2009,89000,Diesel,Automatic,First,175,1991,1479,7,466048,"{""data"": { ""id"":""128747,Chevrolet Captiva LTZ VCDi"" }},"
Mahindra XUV500 W10 2WD,128748,Kolkata,Westbengalen,Ostindien,Indien,2016,54000,Diesel,Manual,First,224,2179,140,7,1514657,"{""data"": { ""id"":""128748,Mahindra XUV500 W10 2WD"" }},"
Honda Amaze VX i-DTEC,128749,Kochi,Kerala,Südindien,Indien,2015,61691,Diesel,Manual,First,3612,1498,986,5,626835,"{""data"": { ""id"":""128749,Honda Amaze VX i-DTEC"" }},"
Hyundai i20 1.2 Sportz Option,128750,Chennai,Tamil Nadu,Ostindien,Indien,2011,32200,Benzin,Manual,Second,238,1197,80,5,378664,"{""data"": { ""id"":""128750,Hyundai i20 1.2 Sportz Option"" }},"
Maruti Wagon R AMT VXI,128751,Jaipur,Rajastahn,Nordindien,Indien,2016,68630,Benzin,Automatic,First,28714,998,67,5,450902,"{""data"": { ""id"":""128751,Maruti Wagon R AMT VXI"" }},"
Volkswagen Jetta 2013-2015 2.0L TDI Highline AT,128752,Mumbai,Maharashtra,Westindien,Indien,2014,61000,Diesel,Automatic,Second,23744,1968,13803,5,961225,"{""data"": { ""id"":""128752,Volkswagen Jetta 2013-2015 2.0L TDI Highline AT"" }},"
Maruti Ciaz 1.4 Zeta,128753,Mumbai,Maharashtra,Westindien,Indien,2018,32644,Benzin,Manual,First,29022,1373,911,5,1081232,"{""data"": { ""id"":""128753,Maruti Ciaz 1.4 Zeta"" }},"
Mahindra Scorpio 2009-2014 VLX 4WD AT 7S BSIV,128754,Delhi,DelhiStaat,Nordindien,Indien,2012,85000,Diesel,Automatic,First,16506,2179,120,7,728201,"{""data"": { ""id"":""128754,Mahindra Scorpio 2009-2014 VLX 4WD AT 7S BSIV"" }},"
Chevrolet Aveo U-VA 1.2 LS,128755,Mumbai,Maharashtra,Westindien,Indien,2008,75000,Benzin,Manual,Second,21364,115,749,5,133989,"{""data"": { ""id"":""128755,Chevrolet Aveo U-VA 1.2 LS"" }},"
Maruti Ciaz ZXi Option,128756,Kochi,Kerala,Südindien,Indien,2016,40347,Benzin,Manual,First,29022,1373,912,5,908794,"{""data"": { ""id"":""128756,Maruti Ciaz ZXi Option"" }},"
Hyundai i20 1.4 CRDi Asta,128757,Hyderabad,Telangana,Südindien,Indien,2012,60788,Diesel,Manual,First,322,1396,90,5,524304,"{""data"": { ""id"":""128757,Hyundai i20 1.4 CRDi Asta"" }},"
Honda Jazz 1.2 SV i VTEC,128758,Kochi,Kerala,Südindien,Indien,2018,18664,Benzin,Manual,First,2618,1199,887,5,880831,"{""data"": { ""id"":""128758,Honda Jazz 1.2 SV i VTEC"" }},"
Mahindra XUV500 W10 2WD,128759,Coimbatore,Tamil Nadu,Ostindien,Indien,2017,57847,Diesel,Manual,First,224,2179,140,7,1873514,"{""data"": { ""id"":""128759,Mahindra XUV500 W10 2WD"" }},"
Hyundai i20 1.2 Sportz,128760,Bangalore,Karnataka,Südindien,Indien,2012,52237,Benzin,Manual,First,238,1197,80,5,524304,"{""data"": { ""id"":""128760,Hyundai i20 1.2 Sportz"" }},"
Hyundai Verna 1.6 SX,128761,Chennai,Tamil Nadu,Ostindien,Indien,2012,128000,Diesel,Manual,First,31248,1582,12632,5,582560,"{""data"": { ""id"":""128761,Hyundai Verna 1.6 SX"" }},"
Hyundai i10 Era 1.1,128762,Delhi,DelhiStaat,Nordindien,Indien,2011,54000,Benzin,Manual,First,27734,1086,6805,5,256327,"{""data"": { ""id"":""128762,Hyundai i10 Era 1.1"" }},"
Maruti Celerio VXI AT,128763,Bangalore,Karnataka,Südindien,Indien,2014,49800,Benzin,Automatic,First,3234,998,6704,5,466048,"{""data"": { ""id"":""128763,Maruti Celerio VXI AT"" }},"
Skoda Fabia 1.2 TDI Ambition,128764,Kolkata,Westbengalen,Ostindien,Indien,2012,98000,Diesel,Manual,First,29204,1199,739,5,292445,"{""data"": { ""id"":""128764,Skoda Fabia 1.2 TDI Ambition"" }},"
Maruti Swift VDI BSIV,128765,Delhi,DelhiStaat,Nordindien,Indien,2015,60095,Diesel,Manual,First,3528,1248,74,5,553432,"{""data"": { ""id"":""128765,Maruti Swift VDI BSIV"" }},"
Hyundai i10 Magna(O) with Sun Roof,128766,Pune,Maharashtra,Westindien,Indien,2008,68000,Benzin,Manual,Second,224,1086,667,5,233024,"{""data"": { ""id"":""128766,Hyundai i10 Magna(O) with Sun Roof"" }},"
Hyundai i10 Magna 1.2,128767,Jaipur,Rajastahn,Nordindien,Indien,2010,81402,Benzin,Manual,Second,28504,1197,789,5,244675,"{""data"": { ""id"":""128767,Hyundai i10 Magna 1.2"" }},"
