ID;Name;Ort;Bundesstaat;Region;Land;Jahr;Kilometerstand;Kraftstoff;Schaltung;Besitzer;KilometerPerLiter;Hubraum ;PS;Sitze;PreisEuro
128227;Hyundai Grand i10 Sportz;Kolkata;Westbengalen;Ostindien;Indien;2013;29000;Benzin;Manual;First;2646;1197;82;5;372839
128228;Maruti Swift Dzire VDI;Kolkata;Westbengalen;Ostindien;Indien;2014;45000;Diesel;Manual;First;3276;1248;74;5;448572
128229;Hyundai i20 Asta 1.4 CRDi (Diesel);Kochi;Kerala;Südindien;Indien;2010;93401;Diesel;Manual;First;322;1396;90;5;405462
128230;Ford Figo 2015-2019 1.5D Trend MT;Hyderabad;Telangana;Südindien;Indien;2017;95802;Diesel;Manual;Second;36162;1498;99;5;530130
128231;Maruti Ertiga VDI;Pune;Maharashtra;Westindien;Indien;2016;130000;Diesel;Manual;First;35658;1248;885;7;815585
128232;Maruti Ertiga ZDI;Ahmedabad;Gujarat;Westindien;Indien;2013;67443;Diesel;Manual;First;29078;1248;888;7;669945
128233;Honda City 1.5 V AT Sunroof;Kochi;Kerala;Südindien;Indien;2016;47681;Benzin;Automatic;First;2352;1497;1163;5;1017151
128234;Maruti Alto LXi BSIII;Hyderabad;Telangana;Südindien;Indien;2009;35000;Benzin;Manual;First;2758;796;463;5;198071
128235;Ford Endeavour 3.2 Titanium AT 4X4;Hyderabad;Telangana;Südindien;Indien;2016;68000;Diesel;Automatic;First;15274;3198;197;7;3437107
128236;Maruti Vitara Brezza ZDi Plus;Kochi;Kerala;Südindien;Indien;2019;34688;Diesel;Manual;First;3402;1248;885;5;1222212
128237;Porsche Boxster S tiptronic;Kolkata;Westbengalen;Ostindien;Indien;2015;10512;Benzin;Automatic;First;1204;2706;265;2;7456774
128238;Maruti Swift ZDi;Pune;Maharashtra;Westindien;Indien;2016;58000;Diesel;Manual;First;3206;1248;74;5;879666
128239;Tata Zest Revotron 1.2 XT;Mumbai;Maharashtra;Westindien;Indien;2014;40000;Benzin;Manual;First;24598;1193;887;5;460223
128240;Hyundai i20 1.2 Sportz Option;Bangalore;Karnataka;Südindien;Indien;2010;61000;Benzin;Manual;Fourth & Above;238;1197;80;5;378664
128241;Skoda Fabia 1.4 TDI Active;Mumbai;Maharashtra;Westindien;Indien;2009;86000;Diesel;Manual;First;2716;1422;70;5;320408
128242;Toyota Corolla Altis D-4D J;Kolkata;Westbengalen;Ostindien;Indien;2015;45000;Diesel;Manual;First;30002;1364;872;5;856364
128243;Volkswagen Ameo 1.2 MPI Comfortline;Ahmedabad;Gujarat;Westindien;Indien;2017;55000;Benzin;Manual;First;238;1198;7375;5;547607
128244;Hyundai Creta 1.6 VTVT S;Kochi;Kerala;Südindien;Indien;2016;36855;Benzin;Manual;Second;21406;1591;1213;5;1021811
128245;Hyundai i10 Magna 1.2;Kochi;Kerala;Südindien;Indien;2013;46821;Benzin;Manual;First;28504;1197;789;5;398471
128246;Chevrolet Beat LS;Kolkata;Westbengalen;Ostindien;Indien;2015;120000;Benzin;Manual;First;2604;1199;768;5;291280
128247;Jaguar XF 3.0 Litre S Premium Luxury;Kolkata;Westbengalen;Ostindien;Indien;2012;29000;Diesel;Automatic;First;20636;2993;2709;5;2330242
128248;Nissan Terrano XL;Mumbai;Maharashtra;Westindien;Indien;2014;40000;Benzin;Manual;First;18536;1598;1025;5;611688
128249;Audi Q3 2012-2015 2.0 TDI Quattro Premium Plus;Delhi;DelhiStaat;Nordindien;Indien;2013;60000;Diesel;Automatic;Second;22022;1968;17433;5;1689425
128250;Hyundai i10 Asta AT;Mumbai;Maharashtra;Westindien;Indien;2011;64984;Benzin;Automatic;First;2373;1197;789;5;401967
128251;Maruti Alto K10 VXI AGS;Pune;Maharashtra;Westindien;Indien;2015;73204;Benzin;Automatic;First;33698;998;671;5;384490
128252;Audi Q7 4.2 TDI Quattro Technology;Bangalore;Karnataka;Südindien;Indien;2014;50000;Diesel;Automatic;First;15862;4134;3352;7;5942117
128253;Maruti Vitara Brezza VDi;Kolkata;Westbengalen;Ostindien;Indien;2017;35000;Diesel;Manual;First;3402;1248;885;5;757329
128254;Hyundai EON D Lite Plus;Hyderabad;Telangana;Südindien;Indien;2013;17729;Benzin;Manual;First;2954;814;552;5;425269
128255;Mahindra XUV300 W8 Diesel;Chennai;Tamil Nadu;Ostindien;Indien;2012;97000;Diesel;Manual;First;28;1497;115;5;844713
128256;Hyundai Verna CRDi 1.6 SX Option;Kochi;Kerala;Südindien;Indien;2014;89614;Diesel;Manual;First;308;1582;1262;5;700238
128257;Maruti Wagon R VXI;Kolkata;Westbengalen;Ostindien;Indien;2015;14000;Benzin;Manual;First;2646;998;671;5;326234
128258;Hyundai i20 Sportz Option;Chennai;Tamil Nadu;Ostindien;Indien;2012;50000;Benzin;Manual;First;238;1197;80;5;466048
128259;Honda City i VTEC V;Delhi;DelhiStaat;Nordindien;Indien;2014;62505;Benzin;Manual;First;2436;1497;1173;5;693247
128260;Toyota Innova 2.5 V Diesel 7-seater;Chennai;Tamil Nadu;Ostindien;Indien;2011;248000;Diesel;Manual;Second;1792;2494;102;7;1071911
128261;Hyundai Verna CRDi SX;Pune;Maharashtra;Westindien;Indien;2012;94900;Diesel;Manual;First;2352;1493;110;5;623340
128262;Tata Hexa XT;Delhi;DelhiStaat;Nordindien;Indien;2017;55000;Diesel;Manual;First;2464;2179;15386;7;1398145
128263;Audi Q7 3.0 TDI Quattro Premium Plus;Coimbatore;Tamil Nadu;Südindien;Indien;2015;53735;Diesel;Automatic;Second;16898;2967;2414;7;4536981
128264;Maruti Wagon R VXI;Coimbatore;Tamil Nadu;Südindien;Indien;2008;53934;Benzin;Manual;Second;2646;998;671;5;313418
128265;BMW 5 Series 2013-2017 525d Luxury Line;Bangalore;Karnataka;Südindien;Indien;2013;58500;Diesel;Automatic;Second;23926;1995;218;5;3204083
128266;Honda Amaze EX i-Vtech;Kolkata;Westbengalen;Ostindien;Indien;2014;48000;Benzin;Manual;First;252;1198;867;5;320408
128267;Maruti Alto 800 2016-2019 LXI;Mumbai;Maharashtra;Westindien;Indien;2016;24000;Benzin;Manual;First;3458;796;473;5;326234
128268;Hyundai Verna 1.6 SX VTVT;Mumbai;Maharashtra;Westindien;Indien;2016;52001;Benzin;Manual;First;23814;1591;1213;5;751503
128269;Tata Tiago 1.2 Revotron XZ;Coimbatore;Tamil Nadu;Südindien;Indien;2018;9565;Benzin;Manual;First;33376;1199;84;5;685091
128270;Maruti Swift LXI;Pune;Maharashtra;Westindien;Indien;2013;32953;Benzin;Manual;First;2604;1197;858;5;541781
128271;Hyundai EON Era;Jaipur;Rajastahn;Nordindien;Indien;2014;18000;Benzin;Manual;First;2954;814;552;5;291280
128272;Mercedes-Benz E-Class E 220 d;Kochi;Kerala;Südindien;Indien;2018;20446;Benzin;Automatic;First;1764;195;19134;5;5982896
128273;Hyundai i20 Magna 1.4 CRDi;Hyderabad;Telangana;Südindien;Indien;2016;33016;Diesel;Manual;First;31556;1396;8873;5;798108
128274;Toyota Etios VD;Chennai;Tamil Nadu;Ostindien;Indien;2012;48000;Diesel;Manual;First;33026;1364;6705;5;611688
128275;Toyota Corolla Altis Diesel D4DG;Coimbatore;Tamil Nadu;Südindien;Indien;2014;72022;Diesel;Manual;First;30002;1364;872;5;1075407
128276;Mini Cooper 5 DOOR D;Ahmedabad;Gujarat;Westindien;Indien;2014;34000;Diesel;Automatic;First;2898;1496;11398;5;2563266
128277;Volkswagen Polo 1.5 TDI Highline;Hyderabad;Telangana;Südindien;Indien;2014;69000;Diesel;Manual;First;28196;1498;888;5;604698
128278;Skoda Superb Elegance 1.8 TSI AT;Pune;Maharashtra;Westindien;Indien;2009;108000;Benzin;Automatic;First;1918;1798;15775;5;506828
128279;Mercedes-Benz E-Class 2009-2013 E 220 CDI Avantgarde;Hyderabad;Telangana;Südindien;Indien;2013;34700;Diesel;Automatic;First;14;2148;170;5;2854546
128280;Maruti Swift VDi BSIII W/ ABS;Pune;Maharashtra;Westindien;Indien;2015;79000;Diesel;Manual;First;2492;1248;75;5;669945
128281;Honda City i VTEC CVT VX;Kochi;Kerala;Südindien;Indien;2016;58197;Benzin;Automatic;First;252;1497;1173;5;1070746
128282;BMW 7 Series 2007-2012 740Li;Pune;Maharashtra;Westindien;Indien;2008;66000;Benzin;Automatic;Second;1183;2979;321;5;1252505
128283;Hyundai i10 Magna AT;Bangalore;Karnataka;Südindien;Indien;2009;60000;Benzin;Automatic;First;2688;1197;80;5;348371
128284;Maruti Swift Dzire VDI;Kolkata;Westbengalen;Ostindien;Indien;2014;57000;Diesel;Manual;First;37226;1248;74;5;453232
128285;Honda City i DTec VX;Coimbatore;Tamil Nadu;Südindien;Indien;2018;45555;Diesel;Manual;First;364;1498;986;5;1366687
128286;Maruti Omni 8 Seater BSIV;Coimbatore;Tamil Nadu;Südindien;Indien;2016;55137;Benzin;Manual;First;196;796;35;5;362353
128287;Skoda Superb 2009-2014 Elegance 2.0 TDI MT;Jaipur;Rajastahn;Nordindien;Indien;2014;93325;Diesel;Manual;Second;2408;1968;1381;5;1683600
128288;Maruti Ertiga SHVS VDI;Ahmedabad;Gujarat;Westindien;Indien;2018;38000;Diesel;Manual;First;34328;1248;885;7;1013655
128289;Hyundai Grand i10 CRDi Magna;Kochi;Kerala;Südindien;Indien;2016;57738;Diesel;Manual;First;336;112;70;5;587221
128290;Maruti Ciaz VDi Plus SHVS;Jaipur;Rajastahn;Nordindien;Indien;2017;38282;Diesel;Manual;First;39326;1248;885;5;990353
128291;Mercedes-Benz New C-Class C 220 CDI Avantgarde;Delhi;DelhiStaat;Nordindien;Indien;2014;64000;Diesel;Automatic;First;26978;2143;170;5;1823414
128292;Fiat Avventura MULTIJET Emotion;Mumbai;Maharashtra;Westindien;Indien;2015;32000;Diesel;Manual;First;287;1248;9172;5;658293
128293;Mercedes-Benz E-Class 2009-2013 E 250 Elegance;Bangalore;Karnataka;Südindien;Indien;2010;83000;Benzin;Automatic;First;15302;2497;204;5;1922450
128294;Maruti Zen Estilo LXI Green (CNG);Ahmedabad;Gujarat;Westindien;Indien;2011;76000;CNG;Manual;First;3682;998;671;5;233024
128295;Volkswagen Vento Benzin Highline;Pune;Maharashtra;Westindien;Indien;2012;67200;Benzin;Manual;First;21056;1598;1036;5;454397
128296;BMW 3 Series 320d Luxury Line;Jaipur;Rajastahn;Nordindien;Indien;2013;62655;Diesel;Automatic;First;26432;1995;184;5;1689425
128297;BMW 5 Series 2013-2017 530d M Sport;Bangalore;Karnataka;Südindien;Indien;2015;16900;Diesel;Automatic;First;20566;2993;258;5;5126532
128298;Hyundai Grand i10 1.2 Kappa Magna;Delhi;DelhiStaat;Nordindien;Indien;2017;8471;Benzin;Manual;First;2646;1197;8186;5;582560
128299;Toyota Innova Crysta 2.8 ZX AT;Hyderabad;Telangana;Südindien;Indien;2016;69000;Diesel;Automatic;First;15904;2755;1715;7;2301114
128300;Renault Duster 110PS Diesel RxZ AMT;Coimbatore;Tamil Nadu;Südindien;Indien;2017;30090;Diesel;Automatic;First;2744;1461;10845;5;1332898
128301;Tata Indica Vista Aura 1.3 Quadrajet;Chennai;Tamil Nadu;Ostindien;Indien;2011;120000;Diesel;Manual;First;252;1248;75;5;203896
128302;Mercedes-Benz E-Class 2009-2013 E 200 CGI Avantgarde;Kochi;Kerala;Südindien;Indien;2016;35939;Benzin;Manual;First;1722;1796;185;5;3544298
128303;Mahindra XUV500 W8 4WD;Coimbatore;Tamil Nadu;Südindien;Indien;2013;116694;Diesel;Manual;First;2114;2179;140;7;1115021
128304;Mahindra Bolero ZLX;Mumbai;Maharashtra;Westindien;Indien;2016;40448;Diesel;Manual;First;22344;2523;621;7;407792
128305;Maruti Vitara Brezza ZDi;Coimbatore;Tamil Nadu;Südindien;Indien;2018;64456;Diesel;Manual;First;3402;1248;885;5;1218717
128306;Fiat Avventura MULTIJET Emotion;Pune;Maharashtra;Westindien;Indien;2014;52782;Diesel;Manual;First;287;1248;9172;5;565084
128307;Honda Amaze S Benzin;Kochi;Kerala;Südindien;Indien;2016;51672;Benzin;Manual;First;273;1199;8876;5;661789
128308;Skoda Superb Elegance 1.8 TSI AT;Mumbai;Maharashtra;Westindien;Indien;2015;56073;Benzin;Automatic;First;1918;1798;15775;5;1543785
128309;Jaguar XF 3.0 Litre S Premium Luxury;Bangalore;Karnataka;Südindien;Indien;2011;65000;Diesel;Automatic;First;20636;2993;2709;5;1864194
128310;Maruti Wagon R VXI BSIII;Chennai;Tamil Nadu;Ostindien;Indien;2013;79000;Benzin;Manual;First;2646;998;671;5;349536
128311;Toyota Corolla Altis VL;Mumbai;Maharashtra;Westindien;Indien;2010;70200;Benzin;Automatic;First;20342;1798;1381;5;582560
128312;Maruti Swift VXi BSIV;Delhi;DelhiStaat;Nordindien;Indien;2016;42000;Benzin;Manual;First;2254;1197;85;5;553432
128313;Volkswagen Polo 1.2 MPI Highline;Bangalore;Karnataka;Südindien;Indien;2014;62000;Benzin;Manual;First;23058;1198;74;5;623340
128314;Hyundai Grand i10 1.2 Kappa Asta;Hyderabad;Telangana;Südindien;Indien;2017;20000;Benzin;Manual;First;2646;1197;8186;5;696742
128315;Maruti SX4 ZDI;Chennai;Tamil Nadu;Ostindien;Indien;2011;80000;Diesel;Manual;Third;301;1248;888;5;407792
128316;Hyundai Grand i10 1.2 Kappa Magna;Kochi;Kerala;Südindien;Indien;2018;50234;Benzin;Manual;First;2646;1197;8186;5;555763
128317;Maruti Baleno Delta 1.2;Delhi;DelhiStaat;Nordindien;Indien;2016;50003;Benzin;Manual;First;2996;1197;831;5;634991
128318;Tata Tigor 1.2 Revotron XTA;Ahmedabad;Gujarat;Westindien;Indien;2018;1000;Benzin;Automatic;First;2842;1199;84;5;798108
128319;Maruti Swift Dzire AMT ZDI;Jaipur;Rajastahn;Nordindien;Indien;2016;54897;Diesel;Automatic;First;37226;1248;74;5;850538
128320;Tata Indica GLS BS IV;Pune;Maharashtra;Westindien;Indien;2007;108995;Benzin;Manual;First;2142;1193;653;5;145640
128321;Maruti SX4 S Cross DDiS 320 Zeta;Chennai;Tamil Nadu;Ostindien;Indien;2015;73000;Diesel;Manual;First;3178;1598;118;5;961225
128322;Maruti Swift VXI BSIII;Ahmedabad;Gujarat;Westindien;Indien;2008;65000;Benzin;Manual;First;2254;1298;882;5;315748
128323;Hyundai Xcent 1.2 Kappa SX;Kolkata;Westbengalen;Ostindien;Indien;2016;32000;Benzin;Manual;First;2674;1197;82;5;419444
128324;Hyundai i20 1.2 Magna;Ahmedabad;Gujarat;Westindien;Indien;2010;65000;Benzin;Manual;First;259;1197;80;5;349536
128325;Maruti Celerio VXI AT;Hyderabad;Telangana;Südindien;Indien;2016;21600;Benzin;Automatic;First;3234;998;6704;5;541781
128326;Mercedes-Benz New C-Class C 220 CDI Elegance AT;Mumbai;Maharashtra;Westindien;Indien;2010;39000;Diesel;Automatic;First;20776;2143;170;5;1106865
128327;Maruti Swift Dzire VXi;Mumbai;Maharashtra;Westindien;Indien;2011;58075;Benzin;Manual;First;245;1298;858;5;343711
128328;Volkswagen Vento Benzin Trendline;Mumbai;Maharashtra;Westindien;Indien;2011;58000;Benzin;Manual;First;21056;1598;1036;5;349536
128329;Maruti Swift ZDi;Hyderabad;Telangana;Südindien;Indien;2015;58000;Diesel;Manual;First;3528;1248;74;5;693247
128330;Toyota Corolla Altis VL;Delhi;DelhiStaat;Nordindien;Indien;2008;89000;Benzin;Automatic;First;20342;1798;1381;5;466048
128331;Honda Civic 2006-2010 1.8 V MT;Delhi;DelhiStaat;Nordindien;Indien;2008;72000;Benzin;Manual;First;189;1799;130;5;291280
128332;Ford EcoSport 1.5 Ti VCT AT Titanium BE;Kolkata;Westbengalen;Ostindien;Indien;2017;1800;Benzin;Automatic;First;2247;1499;1104;5;1324743
128333;Fiat Linea Emotion Pack (Diesel);Pune;Maharashtra;Westindien;Indien;2010;172050;Diesel;Manual;Second;266;1248;93;5;262152
128334;Hyundai i10 Era;Jaipur;Rajastahn;Nordindien;Indien;2013;46230;Benzin;Manual;First;27734;1086;6805;5;361187
128335;Volvo XC60 D5 Inscription;Kochi;Kerala;Südindien;Indien;2014;86925;Diesel;Automatic;First;1568;24;215;5;2001678
128336;Hyundai i20 1.2 Asta;Jaipur;Rajastahn;Nordindien;Indien;2018;5000;Benzin;Manual;First;2604;1197;8183;5;757329
128337;Honda City i DTEC S;Ahmedabad;Gujarat;Westindien;Indien;2014;66000;Diesel;Manual;First;364;1498;986;5;664119
128338;Toyota Innova 2.5 VX (Diesel) 8 Seater BS IV;Ahmedabad;Gujarat;Westindien;Indien;2013;119000;Diesel;Manual;First;18186;2494;100;8;932097
128339;Renault KWID RXT;Chennai;Tamil Nadu;Ostindien;Indien;2016;45000;Benzin;Manual;First;35238;799;533;5;302931
128340;Maruti A-Star Vxi;Hyderabad;Telangana;Südindien;Indien;2009;66149;Benzin;Manual;First;266;998;661;5;285455
128341;Mercedes-Benz B Class B180;Kochi;Kerala;Südindien;Indien;2014;42070;Benzin;Automatic;First;2072;1595;1207;5;1348045
128342;Maruti Wagon R LXI BS IV;Kolkata;Westbengalen;Ostindien;Indien;2012;35503;Benzin;Manual;First;2646;998;671;5;267978
128343;Maruti Swift VDI BSIV;Jaipur;Rajastahn;Nordindien;Indien;2016;41460;Diesel;Manual;First;3528;1248;74;5;687421
128344;Hyundai Verna VTVT 1.6 AT SX Option;Mumbai;Maharashtra;Westindien;Indien;2015;40600;Benzin;Automatic;First;238;1591;1213;5;838887
128345;Hyundai Verna CRDi 1.6 AT SX Option;Ahmedabad;Gujarat;Westindien;Indien;2013;87000;Diesel;Automatic;First;308;1582;1262;5;687421
128346;Honda City V MT;Chennai;Tamil Nadu;Ostindien;Indien;2014;30000;Benzin;Manual;Second;2352;1497;1163;5;699073
128347;Hyundai i10 Magna Optional 1.1L;Kolkata;Westbengalen;Ostindien;Indien;2010;27089;Benzin;Manual;First;224;1086;667;5;227199
128348;Toyota Etios GD SP;Coimbatore;Tamil Nadu;Südindien;Indien;2016;53702;Diesel;Manual;First;33026;1364;6704;5;763154
128349;Volvo S60 D4 Momentum;Hyderabad;Telangana;Südindien;Indien;2015;51000;Diesel;Automatic;First;37842;1969;190;5;2912802
128350;Ford Figo Diesel EXI;Kolkata;Westbengalen;Ostindien;Indien;2012;36542;Diesel;Manual;First;28;1399;6805;5;308757
128351;Mercedes-Benz E-Class 2015-2017 E350 CDI Avantgrade;Mumbai;Maharashtra;Westindien;Indien;2017;15000;Diesel;Automatic;First;182;2987;265;5;8097591
128352;BMW 3 Series 320d Luxury Line;Chennai;Tamil Nadu;Ostindien;Indien;2012;65000;Diesel;Automatic;First;31766;1995;190;5;1631169
128353;Maruti Alto 800 VXI;Pune;Maharashtra;Westindien;Indien;2014;32000;Benzin;Manual;Second;31836;796;473;5;244675
128354;Toyota Innova Crysta 2.4 VX MT;Hyderabad;Telangana;Südindien;Indien;2017;24393;Diesel;Manual;First;19152;2393;1478;7;2376847
128355;Volkswagen Polo 1.0 MPI Trendline;Hyderabad;Telangana;Südindien;Indien;2019;1000;Benzin;Manual;First;26292;999;75;5;661789
128356;Nissan Terrano XL;Mumbai;Maharashtra;Westindien;Indien;2014;28238;Benzin;Manual;First;18536;1598;1025;5;646642
128357;Mitsubishi Pajero Sport 4X4;Mumbai;Maharashtra;Westindien;Indien;2013;59000;Diesel;Manual;First;189;2477;17556;7;1485529
128358;Honda Civic 2010-2013 1.8 S MT;Mumbai;Maharashtra;Westindien;Indien;2012;92000;Benzin;Manual;Second;2072;1799;1302;5;390316
128359;Maruti Alto 800 LXI;Kolkata;Westbengalen;Ostindien;Indien;2013;56840;Benzin;Manual;First;31836;796;473;5;180594
128360;Volkswagen Vento Diesel Highline;Coimbatore;Tamil Nadu;Südindien;Indien;2013;62746;Diesel;Manual;Second;28756;1598;1036;5;687421
128361;Land Rover Freelander 2 HSE;Hyderabad;Telangana;Südindien;Indien;2012;96000;Diesel;Automatic;First;1729;2179;18774;5;2211400
128362;Honda CR-V 2.0L 2WD MT;Mumbai;Maharashtra;Westindien;Indien;2014;24000;Benzin;Manual;First;1918;1997;15386;5;1341054
128363;Maruti Ertiga VDI;Mumbai;Maharashtra;Westindien;Indien;2016;54000;Diesel;Manual;First;29078;1248;8876;7;902969
128364;Toyota Innova 2.5 GX (Diesel) 7 Seater;Chennai;Tamil Nadu;Ostindien;Indien;2016;90000;Diesel;Manual;First;18186;2494;1006;7;1619518
128365;Tata Manza Aura Safire;Kolkata;Westbengalen;Ostindien;Indien;2010;40000;Benzin;Manual;First;21;1368;90;5;157291
128366;Audi Q7 35 TDI Quattro Premium Plus;Mumbai;Maharashtra;Westindien;Indien;2015;65938;Diesel;Automatic;Second;16898;2967;2414;7;4427460
128367;Hyundai Verna 1.6 SX VTVT (O) AT;Mumbai;Maharashtra;Westindien;Indien;2017;16100;Benzin;Automatic;First;2394;1591;1214;5;1351540
128368;Volkswagen Vento 1.5 Highline Plus AT 16 Alloy;Hyderabad;Telangana;Südindien;Indien;2017;3600;Diesel;Automatic;First;301;1498;1085;5;1427273
128369;Honda City 1.5 S MT;Jaipur;Rajastahn;Nordindien;Indien;2011;52000;Benzin;Manual;First;238;1497;118;5;442746
128370;Ford Figo Diesel Titanium;Mumbai;Maharashtra;Westindien;Indien;2014;54000;Diesel;Manual;First;28;1399;6805;5;378664
128371;Honda Jazz 1.2 VX i VTEC;Mumbai;Maharashtra;Westindien;Indien;2016;15399;Benzin;Manual;First;2618;1199;887;5;745677
128372;Volkswagen Polo Benzin Highline 1.2L;Bangalore;Karnataka;Südindien;Indien;2012;75000;Benzin;Manual;Second;23058;1198;739;5;460223
128373;Honda City i-VTEC S;Delhi;DelhiStaat;Nordindien;Indien;2010;76752;Benzin;Manual;First;2436;1497;1173;5;415948
128374;Honda City ZX GXi;Mumbai;Maharashtra;Westindien;Indien;2005;56000;Benzin;Manual;Second;2478;1497;78;5;145640
128375;Maruti Wagon R LXI CNG;Pune;Maharashtra;Westindien;Indien;2015;70000;CNG;Manual;First;3668;998;582;5;425269
128376;Honda CR-V 2.4L 4WD AT AVN;Kolkata;Westbengalen;Ostindien;Indien;2013;46125;Benzin;Automatic;Second;168;2354;1874;5;1456401
128377;BMW 5 Series 2013-2017 520d Luxury Line;Ahmedabad;Gujarat;Westindien;Indien;2014;35000;Diesel;Automatic;Second;25368;1995;190;5;2679778
128378;Ambassador Classic Nova Diesel;Chennai;Tamil Nadu;Ostindien;Indien;2003;80000;Diesel;Manual;Third;1792;1489;355;5;157291
128379;Mahindra Scorpio VLX 2.2 mHawk BSIII;Coimbatore;Tamil Nadu;Südindien;Indien;2012;62729;Diesel;Manual;First;1687;2179;120;8;736356
128380;Volkswagen Vento Diesel Comfortline;Kolkata;Westbengalen;Ostindien;Indien;2012;34000;Diesel;Manual;First;28756;1598;1036;5;396141
128381;Maruti Zen VX;Jaipur;Rajastahn;Nordindien;Indien;1999;70000;Benzin;Manual;Second;2422;993;60;5;89714
128382;Maruti 800 DX BSII;Jaipur;Rajastahn;Nordindien;Indien;2009;32000;Benzin;Manual;First;2254;796;37;4;104861
128383;Toyota Corolla Altis 1.8 VL CVT;Delhi;DelhiStaat;Nordindien;Indien;2017;21000;Benzin;Automatic;First;19992;1798;13803;5;2097218
128384;BMW 3 Series 328i Sport Line;Pune;Maharashtra;Westindien;Indien;2013;49000;Benzin;Automatic;First;20426;1997;245;5;2213730
128385;Ford Ikon 1.3 Flair;Chennai;Tamil Nadu;Ostindien;Indien;2007;40000;Benzin;Manual;Third;1932;1299;70;5;128163
128386;Chevrolet Beat LT;Pune;Maharashtra;Westindien;Indien;2012;78000;Benzin;Manual;Second;2604;1199;794;5;233024
128387;Toyota Corolla Altis 1.4 DG;Ahmedabad;Gujarat;Westindien;Indien;2012;52000;Diesel;Manual;First;30002;1364;8679;5;757329
128388;Mahindra XUV500 W4;Bangalore;Karnataka;Südindien;Indien;2014;65213;Diesel;Manual;First;224;2179;140;7;1101039
128389;Hyundai Xcent 1.1 CRDi Base;Mumbai;Maharashtra;Westindien;Indien;2016;170000;Diesel;Manual;First;3416;112;71;5;466048
128390;Mercedes-Benz E-Class 2015-2017 E250 CDI Avantgarde;Kochi;Kerala;Südindien;Indien;2017;36884;Diesel;Automatic;First;182;2143;204;5;3757515
128391;Hyundai i10 Sportz;Pune;Maharashtra;Westindien;Indien;2009;62500;Benzin;Manual;First;28504;1197;789;5;244675
128392;Toyota Corolla Altis VL AT;Mumbai;Maharashtra;Westindien;Indien;2015;68000;Benzin;Automatic;Second;19992;1798;13803;5;1135993
128393;Toyota Corolla 1.8 J;Kolkata;Westbengalen;Ostindien;Indien;2014;40748;Benzin;Manual;First;20342;1798;138;5;734026
128394;Audi Q3 2.0 TDI Quattro;Hyderabad;Telangana;Südindien;Indien;2013;60000;Diesel;Automatic;First;24248;1968;184;5;2446754
128395;Hyundai i20 Magna Optional 1.4 CRDi;Mumbai;Maharashtra;Westindien;Indien;2014;12400;Diesel;Manual;First;3066;1396;888;5;541781
128396;Mercedes-Benz New C-Class C 220d Avantgarde Edition C;Mumbai;Maharashtra;Westindien;Indien;2013;87000;Diesel;Automatic;Second;26978;2143;16762;5;1980706
128397;Maruti Ritz VDi;Pune;Maharashtra;Westindien;Indien;2013;20248;Diesel;Manual;First;2954;1248;739;5;506828
128398;Hyundai Creta 1.6 SX Plus Diesel;Coimbatore;Tamil Nadu;Südindien;Indien;2017;52383;Diesel;Manual;First;27538;1582;1262;5;1726709
128399;Jaguar XE 2.0L Diesel Prestige;Delhi;DelhiStaat;Nordindien;Indien;2018;1000;Diesel;Automatic;First;1904;1999;177;5;4660484
128400;Mahindra Xylo D4;Chennai;Tamil Nadu;Ostindien;Indien;2016;85000;Diesel;Manual;First;2093;2489;937;7;716549
128401;Toyota Innova 2.5 G (Diesel) 7 Seater;Ahmedabad;Gujarat;Westindien;Indien;2014;47000;Diesel;Manual;First;18186;2494;1006;7;1310761
128402;Toyota Camry 2.5 Hybrid;Pune;Maharashtra;Westindien;Indien;2018;17585;Benzin;Automatic;First;26824;2494;1577;5;3728387
128403;Audi Q5 3.0 TDI Quattro;Coimbatore;Tamil Nadu;Südindien;Indien;2018;32496;Diesel;Automatic;First;18508;2967;2414;5;5315282
128404;Maruti Swift VDI;Kochi;Kerala;Südindien;Indien;2017;34613;Diesel;Manual;First;3976;1248;74;5;727035
128405;Maruti Ertiga VDI Limited Edition;Chennai;Tamil Nadu;Ostindien;Indien;2015;153000;Diesel;Manual;First;29078;1248;8876;7;559258
128406;Maruti Swift VXi BSIV;Chennai;Tamil Nadu;Ostindien;Indien;2014;54000;Benzin;Manual;Second;2254;1197;85;5;524304
128407;Hyundai i10 Sportz;Kochi;Kerala;Südindien;Indien;2015;16900;Benzin;Manual;First;28504;1197;789;5;450902
128408;Hyundai i10 Sportz;Delhi;DelhiStaat;Nordindien;Indien;2013;62334;Benzin;Manual;First;28504;1197;789;5;320408
128409;Maruti Baleno Sigma 1.2;Kochi;Kerala;Südindien;Indien;2018;23714;Benzin;Manual;First;2996;1197;831;5;765484
128410;Hyundai Accent Executive;Jaipur;Rajastahn;Nordindien;Indien;2010;52325;Benzin;Manual;First;22904;1495;937;5;233024
128411;Honda Brio S MT;Ahmedabad;Gujarat;Westindien;Indien;2012;50000;Benzin;Manual;First;2716;1198;868;5;425269
128412;Maruti Swift ZDi;Hyderabad;Telangana;Südindien;Indien;2016;55746;Diesel;Manual;First;3206;1248;74;5;809759
128413;Hyundai Xcent 1.2 VTVT S;Bangalore;Karnataka;Südindien;Indien;2014;54000;Benzin;Manual;First;28196;1197;8186;5;640817
