id,name,ort,bundesstaat,region,land,jahr,kilometerstand,pS,preisEuro,kraftstoff,schaltung,besitzer,kilometerPerLiter,hubraum,sitze
128233,Honda City 1.5 V AT Sunroof,Kochi,Kerala,S?dindien,Indien,2016,47681,117,1045389,Benzin,Automatisch,Erster,16.8,1497,5
128234,Maruti Alto LXi BSIII,Hyderabad,Telangana,S?dindien,Indien,2009,35000,47,203569,Benzin,Manual,Erster,19.7,796,5
128235,Ford Endeavour 3.2 Titanium AT 4X4,Hyderabad,Telangana,S?dindien,Indien,2016,68000,199,3532528,Diesel,Automatisch,Erster,10.91,3198,7
128236,Maruti Vitara Brezza ZDi Plus,Kochi,Kerala,S?dindien,Indien,2019,34688,89,1256143,Diesel,Manual,Erster,24.3,1248,5
128237,Porsche Boxster S tiptronic,Kolkata,Westbengalen,Ostindien,Indien,2015,10512,268,766379,Benzin,Automatisch,Erster,8.6,2706,2
128238,Maruti Swift ZDi,Pune,Maharashtra,Westindien,Indien,2016,58000,75,904088,Diesel,Manual,Erster,22.9,1248,5
128239,Tata Zest Revotron 1.2 XT,Mumbai,Maharashtra,Westindien,Indien,2014,40000,90,4730,Benzin,Manual,Erster,17.57,1193,5
128240,Hyundai i20 1.2 Sportz Option,Bangalore,Karnataka,S?dindien,Indien,2010,61000,81,389177,Benzin,Manual,Vierter & mehr,17,1197,5
128241,Skoda Fabia 1.4 TDI Active,Mumbai,Maharashtra,Westindien,Indien,2009,86000,71,329303,Diesel,Manual,Erster,19.4,1422,5
128242,Toyota Corolla Altis D-4D J,Kolkata,Westbengalen,Ostindien,Indien,2015,45000,88,880138,Diesel,Manual,Erster,21.43,1364,5
128243,Volkswagen Ameo 1.2 MPI Comfortline,Ahmedabad,Gujarat,Westindien,Indien,2017,55000,74,56281,Benzin,Manual,Erster,17,1198,5
128244,Hyundai Creta 1.6 VTVT S,Kochi,Kerala,S?dindien,Indien,2016,36855,123,1050179,Benzin,Manual,Zweiter,15.29,1591,5
128245,Hyundai i10 Magna 1.2,Kochi,Kerala,S?dindien,Indien,2013,46821,80,409534,Benzin,Manual,Erster,20.36,1197,5
128246,Chevrolet Beat LS,Kolkata,Westbengalen,Ostindien,Indien,2015,120000,78,299367,Benzin,Manual,Erster,18.6,1199,5
128247,Jaguar XF 3.0 Litre S Premium Luxury,Kolkata,Westbengalen,Ostindien,Indien,2012,29000,274,2394934,Diesel,Automatisch,Erster,14.74,2993,5
128248,Nissan Terrano XL,Mumbai,Maharashtra,Westindien,Indien,2014,40000,104,62867,Benzin,Manual,Erster,13.24,1598,5
128249,Audi Q3 2012-2015 2.0 TDI Quattro Premium Plus,Delhi,DelhiStaat,Nordindien,Indien,2013,60000,176,1736327,Diesel,Automatisch,Zweiter,15.73,1968,5
128250,Hyundai i10 Asta AT,Mumbai,Maharashtra,Westindien,Indien,2011,64984,80,413126,Benzin,Automatisch,Erster,16.95,1197,5
128251,Maruti Alto K10 VXI AGS,Pune,Maharashtra,Westindien,Indien,2015,73204,68,395164,Benzin,Automatisch,Erster,24.07,998,5
128252,Audi Q7 4.2 TDI Quattro Technology,Bangalore,Karnataka,S?dindien,Indien,2014,50000,339,6107082,Diesel,Automatisch,Erster,11.33,4134,7
128253,Maruti Vitara Brezza VDi,Kolkata,Westbengalen,Ostindien,Indien,2017,35000,89,778354,Diesel,Manual,Erster,24.3,1248,5
128254,Hyundai EON D Lite Plus,Hyderabad,Telangana,S?dindien,Indien,2013,17729,56,437075,Benzin,Manual,Erster,21.1,814,5
128255,Mahindra XUV300 W8 Diesel,Chennai,Tamil Nadu,Ostindien,Indien,2012,97000,116,868164,Diesel,Manual,Erster,20,1497,5
128256,Hyundai Verna CRDi 1.6 SX Option,Kochi,Kerala,S?dindien,Indien,2014,89614,127,719678,Diesel,Manual,Erster,22,1582,5
128257,Maruti Wagon R VXI,Kolkata,Westbengalen,Ostindien,Indien,2015,14000,68,335291,Benzin,Manual,Erster,18.9,998,5
128258,Hyundai i20 Sportz Option,Chennai,Tamil Nadu,Ostindien,Indien,2012,50000,81,478987,Benzin,Manual,Erster,17,1197,5
128259,Honda City i VTEC V,Delhi,DelhiStaat,Nordindien,Indien,2014,62505,118,712493,Benzin,Manual,Erster,17.4,1497,5
128260,Toyota Innova 2.5 V Diesel 7-seater,Chennai,Tamil Nadu,Ostindien,Indien,2011,248000,103,110167,Diesel,Manual,Zweiter,12.8,2494,7
128261,Hyundai Verna CRDi SX,Pune,Maharashtra,Westindien,Indien,2012,94900,111,640645,Diesel,Manual,Erster,16.8,1493,5
128262,Tata Hexa XT,Delhi,DelhiStaat,Nordindien,Indien,2017,55000,155,1436961,Diesel,Manual,Erster,17.6,2179,7
128263,Audi Q7 3.0 TDI Quattro Premium Plus,Coimbatore,Tamil Nadu,Ostindien,Indien,2015,53735,244,4662937,Diesel,Automatisch,Zweiter,12.07,2967,7
128264,Maruti Wagon R VXI,Coimbatore,Tamil Nadu,Ostindien,Indien,2008,53934,68,322119,Benzin,Manual,Zweiter,18.9,998,5
128265,BMW 5 Series 2013-2017 525d Luxury Line,Bangalore,Karnataka,S?dindien,Indien,2013,58500,220,3293035,Diesel,Automatisch,Zweiter,17.09,1995,5
128266,Honda Amaze EX i-Vtech,Kolkata,Westbengalen,Ostindien,Indien,2014,48000,88,329303,Benzin,Manual,Erster,18,1198,5
128267,Maruti Alto 800 2016-2019 LXI,Mumbai,Maharashtra,Westindien,Indien,2016,24000,48,335291,Benzin,Manual,Erster,24.7,796,5
128268,Hyundai Verna 1.6 SX VTVT,Mumbai,Maharashtra,Westindien,Indien,2016,52001,123,772366,Benzin,Manual,Erster,17.01,1591,5
128269,Tata Tiago 1.2 Revotron XZ,Coimbatore,Tamil Nadu,Ostindien,Indien,2018,9565,85,704111,Benzin,Manual,Erster,23.84,1199,5
128270,Maruti Swift LXI,Pune,Maharashtra,Westindien,Indien,2013,32953,87,556822,Benzin,Manual,Erster,18.6,1197,5
128271,Hyundai EON Era,Jaipur,Rajastahn,Nordindien,Indien,2014,18000,56,299367,Benzin,Manual,Erster,21.1,814,5
128272,Mercedes-Benz E-Class E 220 d,Kochi,Kerala,S?dindien,Indien,2018,20446,193,6148994,Benzin,Automatisch,Erster,12.6,1950,5
128273,Hyundai i20 Magna 1.4 CRDi,Hyderabad,Telangana,S?dindien,Indien,2016,33016,90,820265,Diesel,Manual,Erster,22.54,1396,5
128274,Toyota Etios VD,Chennai,Tamil Nadu,Ostindien,Indien,2012,48000,68,62867,Diesel,Manual,Erster,23.59,1364,5
128275,Toyota Corolla Altis Diesel D4DG,Coimbatore,Tamil Nadu,Ostindien,Indien,2014,72022,88,1105262,Diesel,Manual,Erster,21.43,1364,5
128276,Mini Cooper 5 DOOR D,Ahmedabad,Gujarat,Westindien,Indien,2014,34000,115,2634428,Diesel,Automatisch,Erster,20.7,1496,5
128277,Volkswagen Polo 1.5 TDI Highline,Hyderabad,Telangana,S?dindien,Indien,2014,69000,90,621485,Diesel,Manual,Erster,20.14,1498,5
128278,Skoda Superb Elegance 1.8 TSI AT,Pune,Maharashtra,Westindien,Indien,2009,108000,159,520898,Benzin,Automatisch,Erster,13.7,1798,5
128279,Mercedes-Benz E-Class 2009-2013 E 220 CDI Avantgarde,Hyderabad,Telangana,S?dindien,Indien,2013,34700,172,2933794,Diesel,Automatisch,Erster,10,2148,5
128280,Maruti Swift VDi BSIII W/ ABS,Pune,Maharashtra,Westindien,Indien,2015,79000,76,688544,Diesel,Manual,Erster,17.8,1248,5
128281,Honda City i VTEC CVT VX,Kochi,Kerala,S?dindien,Indien,2016,58197,118,1100472,Benzin,Automatisch,Erster,18,1497,5
128282,BMW 7 Series 2007-2012 740Li,Pune,Maharashtra,Westindien,Indien,2008,66000,324,1287277,Benzin,Automatisch,Zweiter,8.45,2979,5
128283,Hyundai i10 Magna AT,Bangalore,Karnataka,S?dindien,Indien,2009,60000,81,358043,Benzin,Automatisch,Erster,19.2,1197,5
128284,Maruti Swift Dzire VDI,Kolkata,Westbengalen,Ostindien,Indien,2014,57000,75,465815,Diesel,Manual,Erster,26.59,1248,5
128285,Honda City i DTec VX,Coimbatore,Tamil Nadu,Ostindien,Indien,2018,45555,100,1404629,Diesel,Manual,Erster,26,1498,5
128286,Maruti Omni 8 Seater BSIV,Coimbatore,Tamil Nadu,Ostindien,Indien,2016,55137,35,372412,Benzin,Manual,Erster,14,796,5
128287,Skoda Superb 2009-2014 Elegance 2.0 TDI MT,Jaipur,Rajastahn,Nordindien,Indien,2014,93325,139,173034,Diesel,Manual,Zweiter,17.2,1968,5
128288,Maruti Ertiga SHVS VDI,Ahmedabad,Gujarat,Westindien,Indien,2018,38000,89,1041796,Diesel,Manual,Erster,24.52,1248,7
128289,Hyundai Grand i10 CRDi Magna,Kochi,Kerala,S?dindien,Indien,2016,57738,71,603523,Diesel,Manual,Erster,24,1120,5
128290,Maruti Ciaz VDi Plus SHVS,Jaipur,Rajastahn,Nordindien,Indien,2017,38282,89,1017847,Diesel,Manual,Erster,28.09,1248,5
128291,Mercedes-Benz New C-Class C 220 CDI Avantgarde,Delhi,DelhiStaat,Nordindien,Indien,2014,64000,172,1874036,Diesel,Automatisch,Erster,19.27,2143,5
128292,Fiat Avventura MULTIJET Emotion,Mumbai,Maharashtra,Westindien,Indien,2015,32000,93,676569,Diesel,Manual,Erster,20.5,1248,5
128293,Mercedes-Benz E-Class 2009-2013 E 250 Elegance,Bangalore,Karnataka,S?dindien,Indien,2010,83000,206,1975821,Benzin,Automatisch,Erster,10.93,2497,5
128294,Maruti Zen Estilo LXI Green (CNG),Ahmedabad,Gujarat,Westindien,Indien,2011,76000,68,239493,CNG,Manual,Erster,36.82,998,5
128295,Volkswagen Vento Benzin Highline,Pune,Maharashtra,Westindien,Indien,2012,67200,105,467012,Benzin,Manual,Erster,15.04,1598,5
128296,BMW 3 Series 320d Luxury Line,Jaipur,Rajastahn,Nordindien,Indien,2013,62655,186,1736327,Diesel,Automatisch,Erster,18.88,1995,5
128297,BMW 5 Series 2013-2017 530d M Sport,Bangalore,Karnataka,S?dindien,Indien,2015,16900,261,5268855,Diesel,Automatisch,Erster,14.69,2993,5
128298,Hyundai Grand i10 1.2 Kappa Magna,Delhi,DelhiStaat,Nordindien,Indien,2017,8471,83,598734,Benzin,Manual,Erster,18.9,1197,5
128299,Toyota Innova Crysta 2.8 ZX AT,Hyderabad,Telangana,S?dindien,Indien,2016,69000,173,2364998,Diesel,Automatisch,Erster,11.36,2755,7
128300,Renault Duster 110PS Diesel RxZ AMT,Coimbatore,Tamil Nadu,Ostindien,Indien,2017,30090,110,1369902,Diesel,Automatisch,Erster,19.6,1461,5
128301,Tata Indica Vista Aura 1.3 Quadrajet,Chennai,Tamil Nadu,Ostindien,Indien,2011,120000,76,209557,Diesel,Manual,Erster,18,1248,5
128302,Mercedes-Benz E-Class 2009-2013 E 200 CGI Avantgarde,Kochi,Kerala,S?dindien,Indien,2016,35939,187,3642695,Benzin,Manual,Erster,12.3,1796,5
128303,Mahindra XUV500 W8 4WD,Coimbatore,Tamil Nadu,Ostindien,Indien,2013,116694,141,1145976,Diesel,Manual,Erster,15.1,2179,7
128304,Mahindra Bolero ZLX,Mumbai,Maharashtra,Westindien,Indien,2016,40448,63,419113,Diesel,Manual,Erster,15.96,2523,7
128305,Maruti Vitara Brezza ZDi,Coimbatore,Tamil Nadu,Ostindien,Indien,2018,64456,89,1252551,Diesel,Manual,Erster,24.3,1248,5
128306,Fiat Avventura MULTIJET Emotion,Pune,Maharashtra,Westindien,Indien,2014,52782,93,580772,Diesel,Manual,Erster,20.5,1248,5
128307,Honda Amaze S Benzin,Kochi,Kerala,S?dindien,Indien,2016,51672,90,680161,Benzin,Manual,Erster,19.5,1199,5
128308,Skoda Superb Elegance 1.8 TSI AT,Mumbai,Maharashtra,Westindien,Indien,2015,56073,159,1586644,Benzin,Automatisch,Erster,13.7,1798,5
128309,Jaguar XF 3.0 Litre S Premium Luxury,Bangalore,Karnataka,S?dindien,Indien,2011,65000,274,1915947,Diesel,Automatisch,Erster,14.74,2993,5
128310,Maruti Wagon R VXI BSIII,Chennai,Tamil Nadu,Ostindien,Indien,2013,79000,68,35924,Benzin,Manual,Erster,18.9,998,5
128311,Toyota Corolla Altis VL,Mumbai,Maharashtra,Westindien,Indien,2010,70200,139,598734,Benzin,Automatisch,Erster,14.53,1798,5
128312,Maruti Swift VXi BSIV,Delhi,DelhiStaat,Nordindien,Indien,2016,42000,86,568797,Benzin,Manual,Erster,16.1,1197,5
128313,Volkswagen Polo 1.2 MPI Highline,Bangalore,Karnataka,S?dindien,Indien,2014,62000,75,640645,Benzin,Manual,Erster,16.47,1198,5
128314,Hyundai Grand i10 1.2 Kappa Asta,Hyderabad,Telangana,S?dindien,Indien,2017,20000,83,716085,Benzin,Manual,Erster,18.9,1197,5
128315,Maruti SX4 ZDI,Chennai,Tamil Nadu,Ostindien,Indien,2011,80000,90,419113,Diesel,Manual,Dritter,21.5,1248,5
128316,Hyundai Grand i10 1.2 Kappa Magna,Kochi,Kerala,S?dindien,Indien,2018,50234,83,571192,Benzin,Manual,Erster,18.9,1197,5
128317,Maruti Baleno Delta 1.2,Delhi,DelhiStaat,Nordindien,Indien,2016,50003,84,65262,Benzin,Manual,Erster,21.4,1197,5
128318,Tata Tigor 1.2 Revotron XTA,Ahmedabad,Gujarat,Westindien,Indien,2018,1000,85,820265,Benzin,Automatisch,Erster,20.3,1199,5
128319,Maruti Swift Dzire AMT ZDI,Jaipur,Rajastahn,Nordindien,Indien,2016,54897,75,874151,Diesel,Automatisch,Erster,26.59,1248,5
128320,Tata Indica GLS BS IV,Pune,Maharashtra,Westindien,Indien,2007,108995,66,149683,Benzin,Manual,Erster,15.3,1193,5
128321,Maruti SX4 S Cross DDiS 320 Zeta,Chennai,Tamil Nadu,Ostindien,Indien,2015,73000,119,98791,Diesel,Manual,Erster,22.7,1598,5
128322,Maruti Swift VXI BSIII,Ahmedabad,Gujarat,Westindien,Indien,2008,65000,89,324514,Benzin,Manual,Erster,16.1,1298,5
128323,Hyundai Xcent 1.2 Kappa SX,Kolkata,Westbengalen,Ostindien,Indien,2016,32000,83,431088,Benzin,Manual,Erster,19.1,1197,5
128324,Hyundai i20 1.2 Magna,Ahmedabad,Gujarat,Westindien,Indien,2010,65000,81,35924,Benzin,Manual,Erster,18.5,1197,5
128325,Maruti Celerio VXI AT,Hyderabad,Telangana,S?dindien,Indien,2016,21600,68,556822,Benzin,Automatisch,Erster,23.1,998,5
128326,Mercedes-Benz New C-Class C 220 CDI Elegance AT,Mumbai,Maharashtra,Westindien,Indien,2010,39000,172,1137594,Diesel,Automatisch,Erster,14.84,2143,5
128327,Maruti Swift Dzire VXi,Mumbai,Maharashtra,Westindien,Indien,2011,58075,87,353253,Benzin,Manual,Erster,17.5,1298,5
128328,Volkswagen Vento Benzin Trendline,Mumbai,Maharashtra,Westindien,Indien,2011,58000,105,35924,Benzin,Manual,Erster,15.04,1598,5
128329,Maruti Swift ZDi,Hyderabad,Telangana,S?dindien,Indien,2015,58000,75,712493,Diesel,Manual,Erster,25.2,1248,5
128330,Toyota Corolla Altis VL,Delhi,DelhiStaat,Nordindien,Indien,2008,89000,139,478987,Benzin,Automatisch,Erster,14.53,1798,5
128331,Honda Civic 2006-2010 1.8 V MT,Delhi,DelhiStaat,Nordindien,Indien,2008,72000,131,299367,Benzin,Manual,Erster,13.5,1799,5
128332,Ford EcoSport 1.5 Ti VCT AT Titanium BE,Kolkata,Westbengalen,Ostindien,Indien,2017,1800,112,136152,Benzin,Automatisch,Erster,16.05,1499,5
128333,Fiat Linea Emotion Pack (Diesel),Pune,Maharashtra,Westindien,Indien,2010,172050,94,26943,Diesel,Manual,Zweiter,19,1248,5
128334,Hyundai i10 Era,Jaipur,Rajastahn,Nordindien,Indien,2013,46230,69,371215,Benzin,Manual,Erster,19.81,1086,5
128335,Volvo XC60 D5 Inscription,Kochi,Kerala,S?dindien,Indien,2014,86925,217,2057249,Diesel,Automatisch,Erster,11.2,2400,5
128336,Hyundai i20 1.2 Asta,Jaipur,Rajastahn,Nordindien,Indien,2018,5000,83,778354,Benzin,Manual,Erster,18.6,1197,5
128337,Honda City i DTEC S,Ahmedabad,Gujarat,Westindien,Indien,2014,66000,100,682556,Diesel,Manual,Erster,26,1498,5
128338,Toyota Innova 2.5 VX (Diesel) 8 Seater BS IV,Ahmedabad,Gujarat,Westindien,Indien,2013,119000,101,957974,Diesel,Manual,Erster,12.99,2494,8
128339,Renault KWID RXT,Chennai,Tamil Nadu,Ostindien,Indien,2016,45000,54,311341,Benzin,Manual,Erster,25.17,799,5
128340,Maruti A-Star Vxi,Hyderabad,Telangana,S?dindien,Indien,2009,66149,67,293379,Benzin,Manual,Erster,19,998,5
128341,Mercedes-Benz B Class B180,Kochi,Kerala,S?dindien,Indien,2014,42070,122,1385469,Benzin,Automatisch,Erster,14.8,1595,5
128342,Maruti Wagon R LXI BS IV,Kolkata,Westbengalen,Ostindien,Indien,2012,35503,68,275417,Benzin,Manual,Erster,18.9,998,5
128343,Maruti Swift VDI BSIV,Jaipur,Rajastahn,Nordindien,Indien,2016,41460,75,706506,Diesel,Manual,Erster,25.2,1248,5
128344,Hyundai Verna VTVT 1.6 AT SX Option,Mumbai,Maharashtra,Westindien,Indien,2015,40600,123,862176,Benzin,Automatisch,Erster,17,1591,5
128345,Hyundai Verna CRDi 1.6 AT SX Option,Ahmedabad,Gujarat,Westindien,Indien,2013,87000,127,706506,Diesel,Automatisch,Erster,22,1582,5
128346,Honda City V MT,Chennai,Tamil Nadu,Ostindien,Indien,2014,30000,117,71848,Benzin,Manual,Zweiter,16.8,1497,5
128347,Hyundai i10 Magna Optional 1.1L,Kolkata,Westbengalen,Ostindien,Indien,2010,27089,67,233506,Benzin,Manual,Erster,16,1086,5
128348,Toyota Etios GD SP,Coimbatore,Tamil Nadu,Ostindien,Indien,2016,53702,68,784341,Diesel,Manual,Erster,23.59,1364,5
128349,Volvo S60 D4 Momentum,Hyderabad,Telangana,S?dindien,Indien,2015,51000,192,2993668,Diesel,Automatisch,Erster,27.03,1969,5
128350,Ford Figo Diesel EXI,Kolkata,Westbengalen,Ostindien,Indien,2012,36542,69,317329,Diesel,Manual,Erster,20,1399,5
128351,Mercedes-Benz E-Class 2015-2017 E350 CDI Avantgrade,Mumbai,Maharashtra,Westindien,Indien,2017,15000,268,8322396,Diesel,Automatisch,Erster,13,2987,5
128352,BMW 3 Series 320d Luxury Line,Chennai,Tamil Nadu,Ostindien,Indien,2012,65000,192,1676454,Diesel,Automatisch,Erster,22.69,1995,5
128353,Maruti Alto 800 VXI,Pune,Maharashtra,Westindien,Indien,2014,32000,48,251468,Benzin,Manual,Zweiter,22.74,796,5
128354,Toyota Innova Crysta 2.4 VX MT,Hyderabad,Telangana,S?dindien,Indien,2017,24393,149,2442833,Diesel,Manual,Erster,13.68,2393,7
128355,Volkswagen Polo 1.0 MPI Trendline,Hyderabad,Telangana,S?dindien,Indien,2019,1000,76,680161,Benzin,Manual,Erster,18.78,999,5
128356,Nissan Terrano XL,Mumbai,Maharashtra,Westindien,Indien,2014,28238,104,664594,Benzin,Manual,Erster,13.24,1598,5
128357,Mitsubishi Pajero Sport 4X4,Mumbai,Maharashtra,Westindien,Indien,2013,59000,177,1526771,Diesel,Manual,Erster,13.5,2477,7
128358,Honda Civic 2010-2013 1.8 S MT,Mumbai,Maharashtra,Westindien,Indien,2012,92000,132,401151,Benzin,Manual,Zweiter,14.8,1799,5
128359,Maruti Alto 800 LXI,Kolkata,Westbengalen,Ostindien,Indien,2013,56840,48,185607,Benzin,Manual,Erster,22.74,796,5
128360,Volkswagen Vento Diesel Highline,Coimbatore,Tamil Nadu,Ostindien,Indien,2013,62746,105,706506,Diesel,Manual,Zweiter,20.54,1598,5
128361,Land Rover Freelander 2 HSE,Hyderabad,Telangana,S?dindien,Indien,2012,96000,190,2272793,Diesel,Automatisch,Erster,12.35,2179,5
128362,Honda CR-V 2.0L 2WD MT,Mumbai,Maharashtra,Westindien,Indien,2014,24000,155,1378285,Benzin,Manual,Erster,13.7,1997,5
128363,Maruti Ertiga VDI,Mumbai,Maharashtra,Westindien,Indien,2016,54000,90,928037,Diesel,Manual,Erster,20.77,1248,7
128364,Toyota Innova 2.5 GX (Diesel) 7 Seater,Chennai,Tamil Nadu,Ostindien,Indien,2016,90000,102,1664479,Diesel,Manual,Erster,12.99,2494,7
128365,Tata Manza Aura Safire,Kolkata,Westbengalen,Ostindien,Indien,2010,40000,91,161658,Benzin,Manual,Erster,15,1368,5
128366,Audi Q7 35 TDI Quattro Premium Plus,Mumbai,Maharashtra,Westindien,Indien,2015,65938,244,4550375,Diesel,Automatisch,Zweiter,12.07,2967,7
128367,Hyundai Verna 1.6 SX VTVT (O) AT,Mumbai,Maharashtra,Westindien,Indien,2017,16100,123,1389062,Benzin,Automatisch,Erster,17.1,1591,5
128368,Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,Hyderabad,Telangana,S?dindien,Indien,2017,3600,110,1466897,Diesel,Automatisch,Erster,21.5,1498,5
128369,Honda City 1.5 S MT,Jaipur,Rajastahn,Nordindien,Indien,2011,52000,119,455038,Benzin,Manual,Erster,17,1497,5
128370,Ford Figo Diesel Titanium,Mumbai,Maharashtra,Westindien,Indien,2014,54000,69,389177,Diesel,Manual,Erster,20,1399,5
128371,Honda Jazz 1.2 VX i VTEC,Mumbai,Maharashtra,Westindien,Indien,2016,15399,90,766379,Benzin,Manual,Erster,18.7,1199,5
128372,Volkswagen Polo Benzin Highline 1.2L,Bangalore,Karnataka,S?dindien,Indien,2012,75000,75,4730,Benzin,Manual,Zweiter,16.47,1198,5
128373,Honda City i-VTEC S,Delhi,DelhiStaat,Nordindien,Indien,2010,76752,118,427496,Benzin,Manual,Erster,17.4,1497,5
128374,Honda City ZX GXi,Mumbai,Maharashtra,Westindien,Indien,2005,56000,79,149683,Benzin,Manual,Zweiter,17.7,1497,5
128375,Maruti Wagon R LXI CNG,Pune,Maharashtra,Westindien,Indien,2015,70000,59,437075,CNG,Manual,Erster,36.68,998,5
128376,Honda CR-V 2.4L 4WD AT AVN,Kolkata,Westbengalen,Ostindien,Indien,2013,46125,189,1496834,Benzin,Automatisch,Zweiter,12,2354,5
128377,BMW 5 Series 2013-2017 520d Luxury Line,Ahmedabad,Gujarat,Westindien,Indien,2014,35000,192,2754174,Diesel,Automatisch,Zweiter,21.14,1995,5
128378,Ambassador Classic Nova Diesel,Chennai,Tamil Nadu,Ostindien,Indien,2003,80000,36,161658,Diesel,Manual,Dritter,12.8,1489,5
128379,Mahindra Scorpio VLX 2.2 mHawk BSIII,Coimbatore,Tamil Nadu,Ostindien,Indien,2012,62729,121,756799,Diesel,Manual,Erster,12.05,2179,8
128380,Volkswagen Vento Diesel Comfortline,Kolkata,Westbengalen,Ostindien,Indien,2012,34000,105,407139,Diesel,Manual,Erster,20.54,1598,5
128381,Maruti Zen VX,Jaipur,Rajastahn,Nordindien,Indien,1999,70000,61,92205,Benzin,Manual,Zweiter,17.3,993,5
128382,Maruti 800 DX BSII,Jaipur,Rajastahn,Nordindien,Indien,2009,32000,37,107772,Benzin,Manual,Erster,16.1,796,4
128383,Toyota Corolla Altis 1.8 VL CVT,Delhi,DelhiStaat,Nordindien,Indien,2017,21000,139,2155441,Benzin,Automatisch,Erster,14.28,1798,5
128384,BMW 3 Series 328i Sport Line,Pune,Maharashtra,Westindien,Indien,2013,49000,247,2275188,Benzin,Automatisch,Erster,14.59,1997,5
128385,Ford Ikon 1.3 Flair,Chennai,Tamil Nadu,Ostindien,Indien,2007,40000,71,131721,Benzin,Manual,Dritter,13.8,1299,5
128386,Chevrolet Beat LT,Pune,Maharashtra,Westindien,Indien,2012,78000,80,239493,Benzin,Manual,Zweiter,18.6,1199,5
128387,Toyota Corolla Altis 1.4 DG,Ahmedabad,Gujarat,Westindien,Indien,2012,52000,88,778354,Diesel,Manual,Erster,21.43,1364,5
128388,Mahindra XUV500 W4,Bangalore,Karnataka,S?dindien,Indien,2014,65213,141,1131606,Diesel,Manual,Erster,16,2179,7
128389,Hyundai Xcent 1.1 CRDi Base,Mumbai,Maharashtra,Westindien,Indien,2016,170000,72,478987,Diesel,Manual,Erster,24.4,1120,5
128390,Mercedes-Benz E-Class 2015-2017 E250 CDI Avantgarde,Kochi,Kerala,S?dindien,Indien,2017,36884,206,3861831,Diesel,Automatisch,Erster,13,2143,5
128391,Hyundai i10 Sportz,Pune,Maharashtra,Westindien,Indien,2009,62500,80,251468,Benzin,Manual,Erster,20.36,1197,5
128392,Toyota Corolla Altis VL AT,Mumbai,Maharashtra,Westindien,Indien,2015,68000,139,116753,Benzin,Automatisch,Zweiter,14.28,1798,5
128393,Toyota Corolla 1.8 J,Kolkata,Westbengalen,Ostindien,Indien,2014,40748,139,754404,Benzin,Manual,Erster,14.53,1798,5
128394,Audi Q3 2.0 TDI Quattro,Hyderabad,Telangana,S?dindien,Indien,2013,60000,186,2514681,Diesel,Automatisch,Erster,17.32,1968,5
128395,Hyundai i20 Magna Optional 1.4 CRDi,Mumbai,Maharashtra,Westindien,Indien,2014,12400,90,556822,Diesel,Manual,Erster,21.9,1396,5
128396,Mercedes-Benz New C-Class C 220d Avantgarde Edition C,Mumbai,Maharashtra,Westindien,Indien,2013,87000,169,2035694,Diesel,Automatisch,Zweiter,19.27,2143,5
128397,Maruti Ritz VDi,Pune,Maharashtra,Westindien,Indien,2013,20248,75,520898,Diesel,Manual,Erster,21.1,1248,5
128398,Hyundai Creta 1.6 SX Plus Diesel,Coimbatore,Tamil Nadu,Ostindien,Indien,2017,52383,127,1774646,Diesel,Manual,Erster,19.67,1582,5
128399,Jaguar XE 2.0L Diesel Prestige,Delhi,DelhiStaat,Nordindien,Indien,2018,1000,179,4789868,Diesel,Automatisch,Erster,13.6,1999,5
128400,Mahindra Xylo D4,Chennai,Tamil Nadu,Ostindien,Indien,2016,85000,95,736442,Diesel,Manual,Erster,14.95,2489,7
128401,Toyota Innova 2.5 G (Diesel) 7 Seater,Ahmedabad,Gujarat,Westindien,Indien,2014,47000,102,1347151,Diesel,Manual,Erster,12.99,2494,7
128402,Toyota Camry 2.5 Hybrid,Pune,Maharashtra,Westindien,Indien,2018,17585,159,3831895,Benzin,Automatisch,Erster,19.16,2494,5
128403,Audi Q5 3.0 TDI Quattro,Coimbatore,Tamil Nadu,Ostindien,Indien,2018,32496,244,5462845,Diesel,Automatisch,Erster,13.22,2967,5
128404,Maruti Swift VDI,Kochi,Kerala,S?dindien,Indien,2017,34613,75,747219,Diesel,Manual,Erster,28.4,1248,5
128405,Maruti Ertiga VDI Limited Edition,Chennai,Tamil Nadu,Ostindien,Indien,2015,153000,90,574784,Diesel,Manual,Erster,20.77,1248,7
128406,Maruti Swift VXi BSIV,Chennai,Tamil Nadu,Ostindien,Indien,2014,54000,86,53886,Benzin,Manual,Zweiter,16.1,1197,5
128407,Hyundai i10 Sportz,Kochi,Kerala,S?dindien,Indien,2015,16900,80,46342,Benzin,Manual,Erster,20.36,1197,5
128408,Hyundai i10 Sportz,Delhi,DelhiStaat,Nordindien,Indien,2013,62334,80,329303,Benzin,Manual,Erster,20.36,1197,5
128409,Maruti Baleno Sigma 1.2,Kochi,Kerala,S?dindien,Indien,2018,23714,84,786736,Benzin,Manual,Erster,21.4,1197,5
128410,Hyundai Aent Executive,Jaipur,Rajastahn,Nordindien,Indien,2010,52325,95,239493,Benzin,Manual,Erster,16.36,1495,5
128411,Honda Brio S MT,Ahmedabad,Gujarat,Westindien,Indien,2012,50000,88,437075,Benzin,Manual,Erster,19.4,1198,5
